ID1,Latitude,Longitude,Elevation,AHM,CMD,CMI,DD1040,DD18,DD5,DD_0,DD_18,EMT,EXT,Eref,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,bFFP,eFFP,CMD_sm,CMD_sp,CMD_wt
BBL,43.730387,-116.139004,1595,27.55,479.56666666666666,-3.703,980.7333333333333,182.5,1921.1333333333334,415.1666666666667,3945.8,-29.9,37.6,786.9,151.06666666666666,668.3666666666667,16.87,7.633333333333334,-3.8133333333333335,173.16666666666666,20.39666666666667,215.13333333333333,149.2,64,141.55333333333334,24.223333333333333,131.73333333333332,282.8333333333333,348.8,58.1,0.43333333333333335
BFF,44.343006,-119.302186,1312,43.64666666666667,571.7666666666667,-33.74733333333333,872.7333333333333,135.26666666666668,1794.9666666666667,334.46666666666664,3900.6,-29.6,38.2,843.6,128.86666666666667,420.9,15.166666666666666,7.626666666666667,-2.43,135.03333333333333,19.506666666666668,202.63333333333333,74.73333333333333,58.766666666666666,157.83,21.93,146.93333333333334,275.8333333333333,370.23333333333335,103.06666666666666,3.2333333333333334
PR1,38.797754,-120.433892,1581,16.873333333333335,640.5333333333333,39.74133333333334,1449.6333333333334,335.9,2723.8,90.8,2631.3,-21.6,39.9,1055.5,189.7,1403.4333333333334,17.723333333333333,11.71,3.3633333333333333,124.53333333333333,22.013333333333332,276.4,66.66666666666667,60.53333333333333,238.99666666666667,18.643333333333334,118.6,308.26666666666665,441.73333333333335,85.03333333333333,3.3333333333333335
RIR,39.228381,-121.07938300000001,804,18.226666666666667,751.5333333333333,23.251,1921.9333333333334,552.0666666666667,3419.8,45,1992.0666666666666,-17.5,42.2,1184.5666666666666,226.3,1423.2,15.996666666666666,14.073333333333334,5.876666666666667,105.13333333333334,23.986666666666668,306.96666666666664,20.433333333333334,57.3,344.2833333333333,18.106666666666666,92.9,319.2,496.6333333333333,121.03333333333333,4.533333333333333
ROP,38.892554,-121.050191,334,32.089999999999996,903.2,-41.067,2340.5666666666666,758.7333333333333,3950.266666666667,30.466666666666665,1615.3333333333333,-14.2,43.1,1262.6333333333334,274.93333333333334,864.5666666666667,15.28,15.69,7.096666666666667,58.266666666666666,25.36,333.5,6.266666666666667,58.3,637.05,18.266666666666666,59.36666666666667,334.43333333333334,548.3,182.36666666666667,7.566666666666666
